37,370,-112.7961,-111.9758,-110.1653,-2.193401,-108.8639,-115.8883,-105.5403,-36.61559,17.46629,31.50597,-9.857929,-83.21052,-127.7327,-114.8261,-112.2064,-114.9896,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,37,370,-111.9239,-111.7499,30.64147,-41.83886,0.1296714,0.1226939,-0.7836247,0.52154,-0.5176246,-0.2561643,4.815934E-05,0.1347274,-0.128014,0.1113861,0.4818442,-5.458059E-05,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
38,380,-111.3531,-110.4038,-110.4115,-2.558958,-113.3295,-121.4419,-106.8164,-35.4871,18.58109,33.59816,-9.976606,-83.84089,-128.4469,-111.1261,-108.2718,-107.2762,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,38,380,-110.043,-109.2493,30.24863,-40.54789,-0.2642904,-2.568498E-05,0.1305696,-0.7822329,0.2589127,0.2589166,-0.394136,0.5388485,-0.2559942,-0.2227048,0.1205007,-5.458059E-05,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
39,390,-107.0241,-109.5573,-110.7807,-2.558958,-108.8639,-112.3093,-103.3708,-34.86016,18.08562,32.98281,-9.620576,-81.3194,-123.8049,-105.8745,-104.8141,-106.0709,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,39,390,-106.2811,-106.4855,31.55809,-41.06428,-0.1329695,-0.6136271,-0.6529765,2.88956E-05,0.3883345,-0.5137045,0.2628408,-0.8082213,-0.128014,0.3341134,-0.3612906,-0.1130781,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
40,400,-108.5874,-108.8317,-107.8268,-2.558958,-106.088,-112.1859,-102.6051,-35.73788,17.34243,31.50597,-9.976606,-80.94117,-121.7815,-107.1874,-104.9333,-107.7583,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,40,400,-106.1468,-104.3797,30.51052,-41.06428,-0.001649457,-0.8590695,1.926374E-05,0.7822907,-0.3882012,0.7739977,-0.7883235,2.086905E-05,0.3839118,-0.4454322,-1.083978,-0.6782023,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
41,410,-107.3849,-106.6551,-105.4882,-2.315253,-107.4156,-114.6542,-104.1365,-35.48711,17.9617,32.6136,-10.33264,-82.95837,-126.3044,-110.5293,-108.1525,-108.1198,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,41,410,-109.5056,-108.1964,30.37957,-41.58066,-0.3956113,-0.3681878,-0.2611793,-0.2607282,0.3883345,-1.028785,4.815934E-05,-0.1346856,-0.2559942,-0.2227048,5.297528E-05,-0.3391284,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
42,420,-108.3469,-109.6782,-111.8885,-2.193401,-111.3984,-115.6415,-106.1784,-35.98866,16.97078,32.12132,-11.28205,-84.8495,-129.1611,-111.3648,-109.2256,-111.2534,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,42,420,-106.5498,-105.8274,30.64147,-40.1606,0.2609915,0.2454136,0.2612179,2.88956E-05,-1.164737,0.001376554,1.314005,2.086905E-05,-0.128014,-0.1113412,0.2409484,0.112969,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
43,430,-113.9986,-113.0641,-111.7654,-2.193401,-109.588,-114.901,-105.6679,-37.11715,16.47531,30.02913,-11.40073,-84.47128,-129.3991,-115.4228,-112.8025,-114.8691,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,43,430,-109.2369,-109.5125,31.55809,-40.2897,0.3923124,0.7362953,0.2612179,-0.7822361,0.3883345,0.7739977,-0.2627413,0.673555,-0.76792,-0.2227048,5.297528E-05,-0.6782023,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
44,440,-112.5556,-110.8874,-111.3961,-2.437105,-113.3295,-119.5907,-108.2202,-37.61869,16.97078,31.75211,-10.80734,-84.34518,-129.7562,-112.0809,-109.4641,-107.5172,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,44,440,-115.1484,-113.4608,31.81999,-40.93518,0.3923124,-0.4909074,-0.522378,-0.1303513,-0.129356,-0.5137045,0.3942356,-1.212341,-0.128014,0.4454771,5.297528E-05,-0.1130781,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
45,450,-105.1001,-108.2271,-111.7654,-2.437105,-107.8984,-111.1986,-102.8604,-34.98555,17.71397,31.13676,-13.0622,-85.60593,-126.6615,-109.2164,-107.4371,-107.8788,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,45,450,-108.4308,-107.2751,30.37957,-40.03151,0.1296714,-0.3681878,0.391818,0.3911598,-0.2587778,-0.7712445,-0.6569287,0.1347274,0.6398755,-0.4454322,5.297528E-05,-0.4521552,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
46,460,-107.7456,-107.9853,-108.9345,-2.558958,-105.2431,-110.4581,-101.5842,-34.98555,17.83784,31.13676,-9.85793,-81.69761,-123.3288,-110.0519,-107.6756,-109.8072,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,46,460,-105.3406,-104.9062,31.68904,-40.4188,-0.1329695,0.4908528,0.5224165,0.5215368,0.5177578,-0.6424745,4.815934E-05,0.2694339,-0.6399397,0.4455349,5.297528E-05,-0.3391284,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
47,470,-109.4291,-109.1945,-108.5653,-2.924515,-109.588,-116.7522,-105.7955,-36.74098,17.09464,31.75211,-10.45131,-83.33658,-126.8996,-110.768,-108.6294,-107.2762,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,47,470,-107.2216,-107.0119,29.98673,-40.03151,-0.1329695,-2.568498E-05,1.926374E-05,-0.2607282,-0.5176246,0.2589166,0.1314461,2.086905E-05,0.8958376,-0.8908306,-0.6022382,0.5650696,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
